ID,P@5,P@10,P@15,P@20,P@tot,R@5,R@10,R@15,R@20,R@tot
S0021979719311890,0.0,0.0,0.0,0.0,0.12857142857142856,0.0,0.0,0.0,0.0,0.9
S1672022918301839,0.0,0.0,0.0,0.0,0.09722222222222222,0.0,0.0,0.0,0.0,0.7777777777777778
S0925477314000628,0.0,0.0,0.0,0.0,0.03409090909090909,0.0,0.0,0.0,0.0,1.0
S0022247X1401004X,0.6,0.5,0.4,0.4,0.3333333333333333,0.3,0.5,0.6,0.8,0.8
S1742706117305597,0.0,0.0,0.0,0.0,0.06930693069306931,0.0,0.0,0.0,0.0,0.7777777777777778
S1350417719308909,0.2,0.2,0.2,0.15,0.1044776119402985,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.7777777777777778
S2211335518301360,0.0,0.0,0.0,0.0,0.11940298507462686,0.0,0.0,0.0,0.0,1.0
S094735801730184X,0.0,0.1,0.13333333333333333,0.1,0.14634146341463414,0.0,0.125,0.25,0.25,0.75
S0223523415002664,0.2,0.1,0.06666666666666667,0.15,0.08450704225352113,0.1,0.1,0.1,0.3,0.6
S0198971519301516,0.0,0.0,0.0,0.0,0.09210526315789473,0.0,0.0,0.0,0.0,0.7777777777777778
S0169534717300228,0.2,0.2,0.26666666666666666,0.2,0.10204081632653061,0.1,0.2,0.4,0.4,0.5
S0254629915326600,0.0,0.0,0.0,0.1,0.06818181818181818,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855
S1053811919309152,0.0,0.0,0.0,0.0,0.09876543209876543,0.0,0.0,0.0,0.0,0.6666666666666666
S1755436518300288,0.2,0.2,0.2,0.15,0.09090909090909091,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.6666666666666666
S2049080119300688,0.0,0.0,0.0,0.0,0.06097560975609756,0.0,0.0,0.0,0.0,0.625
S1059131117303242,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.9090909090909091
S2405676615300172,0.0,0.0,0.0,0.0,0.053763440860215055,0.0,0.0,0.0,0.0,1.0
S0360132318301987,0.0,0.2,0.13333333333333333,0.1,0.1518987341772152,0.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.9230769230769231
S0042682213006491,0.6,0.3,0.2,0.2,0.23076923076923078,0.2,0.2,0.2,0.26666666666666666,0.6
S0264837717305999,0.0,0.0,0.0,0.0,0.0975609756097561,0.0,0.0,0.0,0.0,0.8
