ID,P@5,P@10,P@15,P@20,P@tot,R@5,R@10,R@15,R@20,R@tot
S0021979719311890,0.4,0.3,0.2,0.15,0.12857142857142856,0.2,0.3,0.3,0.3,0.9
S1672022918301712,0.0,0.0,0.0,0.0,0.06756756756756757,0.0,0.0,0.0,0.0,0.5555555555555556
S0925443919303746,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.8333333333333334
S0022247X14008038,0.2,0.1,0.06666666666666667,0.1,0.08163265306122448,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.36363636363636365
S1742706117304683,0.0,0.0,0.0,0.0,0.043859649122807015,0.0,0.0,0.0,0.0,0.8333333333333334
S1350417719304213,0.0,0.0,0.0,0.0,0.027522935779816515,0.0,0.0,0.0,0.0,0.3
S2211335518301141,0.0,0.0,0.0,0.0,0.0379746835443038,0.0,0.0,0.0,0.0,0.5
S0947358016300292,0.0,0.0,0.06666666666666667,0.05,0.15151515151515152,0.0,0.0,0.1,0.1,1.0
S0223523415002421,0.0,0.0,0.0,0.1,0.10714285714285714,0.0,0.0,0.0,0.15384615384615385,0.46153846153846156
S0198971519301516,0.0,0.1,0.06666666666666667,0.05,0.09210526315789473,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.7777777777777778
S016953471630218X,0.2,0.3,0.26666666666666666,0.25,0.14,0.08333333333333333,0.25,0.3333333333333333,0.4166666666666667,0.5833333333333334
S0254629915326600,0.0,0.1,0.13333333333333333,0.1,0.06818181818181818,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855
S1053811919309061,0.0,0.0,0.0,0.0,0.17105263157894737,0.0,0.0,0.0,0.0,0.6842105263157895
S1755436518300276,0.0,0.0,0.06666666666666667,0.05,0.14754098360655737,0.0,0.0,0.1111111111111111,0.1111111111111111,1.0
S2049080119300664,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.5555555555555556
S1059131117302893,0.0,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.125
S240567581730012X,0.0,0.0,0.0,0.0,0.0392156862745098,0.0,0.0,0.0,0.0,0.2
S0360132318301902,0.0,0.0,0.0,0.0,0.13432835820895522,0.0,0.0,0.0,0.0,1.0
S0042682213006491,0.2,0.2,0.13333333333333333,0.2,0.23076923076923078,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.6
S0264837717305999,0.0,0.0,0.0,0.0,0.0975609756097561,0.0,0.0,0.0,0.0,0.8
S1063458415002083,0.0,0.0,0.0,0.05,0.1388888888888889,0.0,0.0,0.0,0.1,1.0
S2352396414000152,0.0,0.0,0.0,0.0,0.02531645569620253,0.0,0.0,0.0,0.0,0.3333333333333333
S0165178116307739,0.0,0.0,0.0,0.0,0.09836065573770492,0.0,0.0,0.0,0.0,0.75
S0306452214005430,0.0,0.1,0.06666666666666667,0.05,0.11363636363636363,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.5555555555555556
S1053811915009234,0.0,0.0,0.0,0.0,0.18309859154929578,0.0,0.0,0.0,0.0,0.9285714285714286
S1369703X16300341,0.0,0.1,0.06666666666666667,0.05,0.07575757575757576,0.0,0.125,0.125,0.125,0.625
S2162253119300137,0.2,0.2,0.2,0.15,0.0847457627118644,0.16666666666666666,0.3333333333333333,0.5,0.5,0.8333333333333334
S0264127519302527,0.0,0.1,0.13333333333333333,0.2,0.23076923076923078,0.0,0.07692307692307693,0.15384615384615385,0.3076923076923077,0.9230769230769231
S0045653515005172,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.6666666666666666
S0040195117304018,0.0,0.0,0.0,0.0,0.056179775280898875,0.0,0.0,0.0,0.0,0.625
S0378873316302714,0.6,0.3,0.2,0.15,0.17543859649122806,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.7142857142857143
S0955221918306642,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.2
S0305750X1730414X,0.0,0.0,0.13333333333333333,0.15,0.125,0.0,0.0,0.2,0.3,0.7
S0042682217300995,0.2,0.3,0.2,0.15,0.10294117647058823,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7777777777777778
